"Story","Title","Result","Date","Stability","Duration (s)"
"First test case","Ebay home page","SUCCESS","2021-11-14T18:45:59.206+06:00[Asia/Dhaka]","0.0","17.23"
"Home page elements tests","Home and garden test","SUCCESS","2021-11-14T18:45:59.222+06:00[Asia/Dhaka]","0.0","40.05"
"Home page test","Home page test","SUCCESS","2021-11-14T18:45:59.534+06:00[Asia/Dhaka]","0.0","20.31"
"Popular categories tests","Korean beauty test","SUCCESS","2021-11-14T18:46:25.39+06:00[Asia/Dhaka]","0.0","27.74"
"Search product category test","Select item from category","SUCCESS","2021-11-14T18:46:39.445+06:00[Asia/Dhaka]","0.0","35.25"
"Home page elements tests","Industrial equipment page test","SUCCESS","2021-11-14T18:46:45.667+06:00[Asia/Dhaka]","0.0","28.18"
"Popular categories tests","Fishing test","SUCCESS","2021-11-14T18:46:59.053+06:00[Asia/Dhaka]","0.0","29.48"
"Home page elements tests","Sports test","SUCCESS","2021-11-14T18:47:17.682+06:00[Asia/Dhaka]","0.0","23.46"
"Search products test","Search from search box test","SUCCESS","2021-11-14T18:47:18.33+06:00[Asia/Dhaka]","0.0","24.47"
"Popular categories tests","Popular sell test","SUCCESS","2021-11-14T18:47:32.697+06:00[Asia/Dhaka]","0.0","50.1"
"Home page elements tests","Health and beauty test","SUCCESS","2021-11-14T18:47:42.759+06:00[Asia/Dhaka]","0.0","17.86"
"Home page elements tests","Daily deals test","SUCCESS","2021-11-14T18:48:18.166+06:00[Asia/Dhaka]","0.0","17.07"
"Popular categories tests","Smart phones test","SUCCESS","2021-11-14T18:48:24.1+06:00[Asia/Dhaka]","0.0","19.03"
"Home page elements tests","Motors page test","SUCCESS","2021-11-14T18:48:36.31+06:00[Asia/Dhaka]","0.0","22.01"
"Popular categories tests","Wrist watches test","SUCCESS","2021-11-14T18:48:44.045+06:00[Asia/Dhaka]","0.0","22.22"
"Home page elements tests","Sell test","SUCCESS","2021-11-14T18:48:59.145+06:00[Asia/Dhaka]","0.0","78.94"
"Popular categories tests","Collectibles test","SUCCESS","2021-11-14T18:49:07.134+06:00[Asia/Dhaka]","0.0","80.68"
"Home page elements tests","Electronics test","SUCCESS","2021-11-14T18:50:19.816+06:00[Asia/Dhaka]","0.0","18.54"
"Popular categories tests","Sneakers test","SUCCESS","2021-11-14T18:50:28.782+06:00[Asia/Dhaka]","0.0","17.72"
"Home page elements tests","Collectibles and art page test","SUCCESS","2021-11-14T18:50:40.819+06:00[Asia/Dhaka]","0.0","16.22"
"Home page elements tests","Help and contact test","SUCCESS","2021-11-14T18:50:57.824+06:00[Asia/Dhaka]","0.0","17.05"
