"Story","Title","Result","Date","Stability","Duration (s)"
"Home page elements tests","Home and garden test","SUCCESS","2021-11-14T18:45:59.222+06:00[Asia/Dhaka]","0.0","40.05"
"Home page elements tests","Industrial equipment page test","SUCCESS","2021-11-14T18:46:45.667+06:00[Asia/Dhaka]","0.0","28.18"
"Home page elements tests","Sports test","SUCCESS","2021-11-14T18:47:17.682+06:00[Asia/Dhaka]","0.0","23.46"
"Home page elements tests","Health and beauty test","SUCCESS","2021-11-14T18:47:42.759+06:00[Asia/Dhaka]","0.0","17.86"
"Home page elements tests","Fashion test","FAILURE","2021-11-14T18:48:01.813+06:00[Asia/Dhaka]","0.0","15.36"
"Home page elements tests","Daily deals test","SUCCESS","2021-11-14T18:48:18.166+06:00[Asia/Dhaka]","0.0","17.07"
"Home page elements tests","Motors page test","SUCCESS","2021-11-14T18:48:36.31+06:00[Asia/Dhaka]","0.0","22.01"
"Home page elements tests","Sell test","SUCCESS","2021-11-14T18:48:59.145+06:00[Asia/Dhaka]","0.0","78.94"
"Home page elements tests","Electronics test","SUCCESS","2021-11-14T18:50:19.816+06:00[Asia/Dhaka]","0.0","18.54"
"Home page elements tests","Collectibles and art page test","SUCCESS","2021-11-14T18:50:40.819+06:00[Asia/Dhaka]","0.0","16.22"
"Home page elements tests","Help and contact test","SUCCESS","2021-11-14T18:50:57.824+06:00[Asia/Dhaka]","0.0","17.05"
